model,accuracy,precision,recall,f1_score,roc_auc,best_cv_score,training_time_sec
Gradient Boosting,0.96875,0.9700892857142858,0.96875,0.968239880557399,0.997941327843541,0.9683729027106566,226.30002665519714
XGBoost,0.9479166666666666,0.9515335648148149,0.9479166666666666,0.9463966562598979,0.9897066392177045,0.9790479859358212,2308.96417093277
Random Forest,0.8958333333333334,0.8945585077831454,0.8958333333333334,0.8947391456582633,0.9449305198147195,0.9503771132471549,75.2856936454773
Logistic Regression,0.8645833333333334,0.8660669191919191,0.8645833333333334,0.8652218469903573,0.930519814719506,0.8998611367703653,0.8582055568695068
SVM,0.84375,0.849609375,0.84375,0.8458030909773496,0.9202264539372105,0.899755119981231,1.5170111656188965
