model,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
CatBoost,0.9618874773139744,0.027526707998664007,0.9305080213903743,0.052221803071854075,0.9944117647058824,0.009772498662256568
XGBoost,0.9618874773139744,0.027526707998664007,0.9305080213903743,0.052221803071854075,0.9940861629204527,0.007129671182853423
Random Forest,0.9411373260738053,0.03186230889053917,0.8936032594856123,0.06549903615371545,0.9791939662043679,0.021532134211542042
SVM (RBF),0.8856624319419237,0.04120799239835226,0.787695315437251,0.09226724618284264,0.9542949944205326,0.02481321520056661
Logistic Regression,0.8786448880822746,0.030307503547783006,0.8065162907268171,0.046769563168739654,0.9482839151920931,0.025226041866001275
Gradient Boosting,0.9445856019358742,0.04796937646392575,0.9001298701298701,0.08794631998833304,0.9420275386577395,0.06582362706816006
Decision Tree,0.9134906231094979,0.04468239728241109,0.8557339742992541,0.07490123427682915,0.9012581699346406,0.0640551136498067
KNN (k=5),0.8540834845735027,0.035901549288198435,0.7176637035076238,0.09181201885448373,0.900494380679101,0.029022909104688136
