feature,shap_importance,model
controversy_zscore_scaled,1.0237621103828081e-07,gradient_boosting
regulatory_breadth_index,8.984753435075207e-08,gradient_boosting
social_keyword_count,8.381554300425079e-08,gradient_boosting
progress_to_promise_ratio,6.862034158602277e-08,gradient_boosting
sector_rank_scaled,5.8020145225624976e-08,gradient_boosting
risk_concentration_index,5.0833452932732155e-08,gradient_boosting
industry_frequency,3.1761049496980106e-08,gradient_boosting
industry_proportion,2.998546260101024e-08,gradient_boosting
unique_word_count,8.353388813166841e-09,gradient_boosting
env_risk_score,8.017526858888034e-09,gradient_boosting
env_controversy_interaction_scaled,6.5338951430129944e-09,gradient_boosting
dominant_keyword_pillar,4.347272135315697e-09,gradient_boosting
year_mention_density,4.034170177378955e-09,gradient_boosting
policy_esg_gap,2.5768519549764696e-09,gradient_boosting
lexical_diversity,1.9009547691926698e-10,gradient_boosting
env_to_total_ratio_scaled,1.8900821405760108e-10,gradient_boosting
social_to_total_ratio,1.5352928128880815e-10,gradient_boosting
text_pos_neg_ratio,8.401588066531654e-11,gradient_boosting
text_negative_ratio,4.517576735023501e-11,gradient_boosting
temporal_policy_interaction,4.553649124439119e-18,gradient_boosting
pillar_imbalance_score,2.3400696889478803e-18,gradient_boosting
social_controversy_interaction,1.0028870095490916e-18,gradient_boosting
Controversy_Level_Encoded,0.0,gradient_boosting
controversy_score,0.0,gradient_boosting
social_risk_score,0.0,gradient_boosting
ESG_Risk_Level_Encoded,0.0,gradient_boosting
esg_iqr_outlier,0.0,gradient_boosting
env_gov_ratio,0.0,gradient_boosting
social_gov_ratio,0.0,gradient_boosting
social_controversy_interaction_scaled,0.0,gradient_boosting
esg_pillar_cv_scaled,0.0,gradient_boosting
esg_score_zscore_scaled,0.0,gradient_boosting
pillar_range_normalized_scaled,0.0,gradient_boosting
social_gov_ratio_scaled,0.0,gradient_boosting
dominant_pillar_strength_scaled,0.0,gradient_boosting
weakest_pillar_weakness_scaled,0.0,gradient_boosting
esg_risk_residual_scaled,0.0,gradient_boosting
gov_to_total_ratio_scaled,0.0,gradient_boosting
risk_per_pillar_point,0.0,gradient_boosting
env_dominance_flag,0.0,gradient_boosting
esg_risk_residual,0.0,gradient_boosting
controversy_zscore,0.0,gradient_boosting
superlative_density,0.0,gradient_boosting
concrete_evidence_density,0.0,gradient_boosting
vague_to_concrete_ratio,0.0,gradient_boosting
gov_keyword_count,0.0,gradient_boosting
esg_sector_mean_scaled,0.0,gradient_boosting
env_dominance_flag_scaled,0.0,gradient_boosting
esg_iqr_outlier_scaled,0.0,gradient_boosting
risk_per_pillar_point_scaled,0.0,gradient_boosting
text_positive_ratio,0.0,gradient_boosting
avg_sentence_length,0.0,gradient_boosting
hapax_legomena_ratio,0.0,gradient_boosting
esg_vs_sector_mean_scaled,0.0,gradient_boosting
future_language_count,0.0,gradient_boosting
superlative_count,0.0,gradient_boosting
env_keyword_count,0.0,gradient_boosting
total_esg_keyword_density,0.0,gradient_boosting
vague_language_count,0.0,gradient_boosting
vague_language_density,0.0,gradient_boosting
hedge_language_count,0.0,gradient_boosting
paris_agreement_alignment,0.0,gradient_boosting
exclamation_count,0.0,gradient_boosting
short_sentence_ratio,0.0,gradient_boosting
long_sentence_ratio,0.0,gradient_boosting
future_language_density,0.0,gradient_boosting
concrete_evidence_count,0.0,gradient_boosting
sentiment_intent_divergence,0.0,gradient_boosting
promotional_dominance_score,0.0,gradient_boosting
promotional_intent_density,0.0,gradient_boosting
framework_consistency_score,0.0,gradient_boosting
gri_standards_alignment,0.0,gradient_boosting
sdg_alignment,0.0,gradient_boosting
defensive_intent_density,0.0,gradient_boosting
narrative_credibility_index,0.0,gradient_boosting
news_greenwashing_signal,0.0,gradient_boosting
specific_future_density,0.0,gradient_boosting
policy_sentiment_interaction,0.0,gradient_boosting
temporal_greenwashing_signal,0.0,gradient_boosting
vague_future_density,0.0,gradient_boosting
temporal_specificity_ratio,0.0,gradient_boosting
evidence_readability_interaction,0.0,gradient_boosting
sector_proportion,0.0,gradient_boosting
claim_credibility_ratio,0.0,gradient_boosting
esg_linguistic_credibility_index,0.0,gradient_boosting
esg_risk_bin,0.0,gradient_boosting
high_risk_flag,0.0,gradient_boosting
env_risk_bin,0.0,gradient_boosting
controversy_bin,0.0,gradient_boosting
high_controversy_flag,0.0,gradient_boosting
risk_controversy_gap,0.0,gradient_boosting
risk_controversy_mismatch,0.0,gradient_boosting
sector_min_esg,0.0,gradient_boosting
