COMPANY_NAME,YEAR,GW_SCORE,USED_FOR_ANALYSIS,GW_LABEL,GW_RISK_CATEGORY
UBS GROUP AG,2021,0.6875,True,1,High
UBS GROUP AG,2022,0.125,True,0,Low
UMICORE SA,2020,0.1875,True,0,Low
UNICREDIT SPA,2022,1.0,False,1,Very High
UNILEVER PLC,2012,0.375,True,0,Medium
UNILEVER PLC,2017,0.875,True,1,Very High
UNILEVER PLC,2018,0.4375,True,0,Medium
UNILEVER PLC,2019,0.625,True,1,High
UNILEVER PLC,2020,1.0,True,1,Very High
UNILEVER PLC,2021,0.875,True,1,Very High
UNILEVER PLC,2022,1.0,True,1,Very High
UNILEVER PLC,2023,0.875,False,1,Very High
UNIPER SE,2020,0.625,False,1,High
UNIPER SE,2021,0.875,False,1,Very High
UNIPER SE,2022,0.875,False,1,Very High
UPM-KYMMENE CORP,2020,1.0,True,1,Very High
VEDANTA RESOURCES PLC,2023,0.75,False,1,High
VEOLIA ENVIRONNEMENT S A,2011,0.625,True,1,High
VEOLIA ENVIRONNEMENT S A,2012,1.0,True,1,Very High
VERBUND AG,2021,0.9375,True,1,Very High
VERBUND AG,2022,0.0625,True,0,Low
VIRGIN MONEY UK PLC,2015,0.875,False,1,Very High
VODAFONE GROUP PUBLIC LTD,2021,0.8125,True,1,Very High
VOLKSWAGEN AG,2011,0.9375,True,1,Very High
VOLKSWAGEN AG,2015,1.0,True,1,Very High
VOLKSWAGEN AG,2016,1.0,True,1,Very High
VOLKSWAGEN AG,2019,0.8125,True,1,Very High
VOLVO AB,2020,1.0,True,1,Very High
VOLVO AB,2022,0.3125,True,0,Medium
WIZZ AIR HOLDINGS PLC,2021,0.875,True,1,Very High
WIZZ AIR HOLDINGS PLC,2022,0.875,True,1,Very High
WIZZ AIR HOLDINGS PLC,2023,0.6875,True,1,High
WPP PLC,2018,0.25,True,0,Low
WPP PLC,2021,0.8125,True,1,Very High
WPP PLC,2022,0.6875,True,1,High
YARA INTERNATIONAL ASA,2019,0.875,True,1,Very High
YARA INTERNATIONAL ASA,2020,0.875,True,1,Very High
YARA INTERNATIONAL ASA,2021,0.75,True,1,High
ZALANDO SE,2022,0.9375,True,1,Very High
ZALANDO SE,2023,1.0,True,1,Very High
