rank,company_name,sector,risk_score,risk_tier,total_esg_risk_score,controversy_score,source,gw_proxy_score,comp_proxy,comp_linguistic,comp_divergence,comp_credibility_inv,comp_controversy_ratio
759,EDWARDS LIFESCIENCES CORP,Healthcare,20.79,Low Risk,18.6,1.0,SP500,0,0.0,50.0,29.692619789291818,50.0,8.89698231032143
760,"EATON CORPORATION, PLCS",Industrials,20.77,Low Risk,17.9,1.0,SP500,0,0.0,47.96031623338354,30.908107149087392,50.0,9.623355559604327
761,ZEBRA TECHNOLOGIES CORP,Unknown,20.75,Low Risk,31.997863247863247,2.0,NEW_ESG_DATA,0,0.0,50.0,26.391401556234705,50.0,11.916764505985185
762,IDEXX LABORATORIES INC,Healthcare,20.75,Low Risk,18.7,1.0,SP500,0,0.0,50.0,29.518978737892454,50.0,8.797653959194811
763,ALSET EHOME INTERNATIONAL INC,Unknown,20.75,Low Risk,31.997863247863247,2.0,NEW_ESG_DATA,0,0.0,50.0,26.391401556234705,50.0,11.916764505985185
764,"NRG ENERGY, INC.",Utilities,20.75,Low Risk,32.0,2.0,SP500,0,0.0,50.0,26.38769127735865,50.0,11.915322586656956
765,AUTOSCOPE TECHNOLOGIES CORP,Unknown,20.73,Low Risk,32.05128205128205,2.0,NEW_ESG_DATA,0,0.0,50.0,26.29864458433333,50.0,11.880774199552619
766,URBAN OUTFITTERS INC,Unknown,20.71,Low Risk,32.10470085470085,2.0,NEW_ESG_DATA,0,0.0,50.0,26.205887612431965,50.0,11.844903661194675
767,"FORTINET, INC.",Technology,20.67,Low Risk,18.9,1.0,SP500,0,0.0,50.0,29.171696635093724,50.0,8.60215053792805
768,WATTS WATER TECHNOLOGIES INC,Unknown,20.67,Low Risk,32.21153846153846,2.0,NEW_ESG_DATA,0,0.0,50.0,26.02037366862922,50.0,11.773519505258346
769,MATTERPORT INC,Unknown,20.63,Low Risk,32.31837606837607,2.0,NEW_ESG_DATA,0,0.0,50.0,25.834859724826476,50.0,11.702607310683437
770,CME GROUP INC.,Financial Services,20.62,Low Risk,17.8,1.0,SP500,0,0.0,46.626753439752974,31.081748200486757,50.0,9.73178687931809
771,CINEMARK HOLDINGS INC,Unknown,20.61,Low Risk,32.371794871794876,2.0,NEW_ESG_DATA,0,0.0,50.0,25.742102752925096,50.0,11.66732673863002
772,AGNC INVESTMENT CORP,Unknown,20.59,Low Risk,32.425213675213676,2.0,NEW_ESG_DATA,0,0.0,50.0,25.64934578102373,50.0,11.632162412283503
773,FABRINET,Unknown,20.59,Low Risk,32.425213675213676,2.0,NEW_ESG_DATA,0,0.0,50.0,25.64934578102373,50.0,11.632162412283503
774,VALERO ENERGY CORPORATION,Energy,20.53,Low Risk,32.6,2.0,SP500,0,0.0,50.0,25.345844968962442,50.0,11.517910158307458
775,"ROLLINS, INC.",Consumer Cyclical,20.51,Low Risk,19.3,1.0,SP500,0,0.0,50.0,28.477132429496248,50.0,8.22329934852398
776,WORLD WRESTLING ENTERTAINMENT INC,Unknown,20.46,Low Risk,32.799145299145295,2.0,NEW_ESG_DATA,0,0.0,50.0,25.00004697771414,50.0,11.389219297686552
777,NUCOR CORPORATION,Basic Materials,20.46,Low Risk,32.8,2.0,SP500,0,0.0,50.0,24.998562866163713,50.0,11.388670344209075
778,ULTRATECH CEMENT LTD.,Basic Materials,20.42,Low Risk,32.9,2.0,NIFTY50,0,0.0,50.0,24.824921814764345,50.0,11.324639676433709
779,PIONEER POWER SOLUTIONS INC,Unknown,20.4,Low Risk,32.95940170940171,2.0,NEW_ESG_DATA,0,0.0,50.0,24.72177606201001,50.0,11.286788315588083
780,THE SOUTHERN COMPANY,Utilities,20.39,Low Risk,33.0,2.0,SP500,0,0.0,50.0,24.651280763364973,50.0,11.260997073311408
781,GULF RESOURCES INC,Basic Materials,20.31,Low Risk,33.22649572649573,2.0,NEW_ESG_DATA,0,0.0,50.0,24.25799120250316,50.0,11.11826574589702
782,NXP SEMICONDUCTORS N.V.,Technology,20.31,Low Risk,19.8,1.0,SP500,0,0.0,50.0,27.608927172499413,50.0,7.771260997519622
783,PERDOCEO EDUCATION CORP,Unknown,20.27,Low Risk,33.333333333333336,2.0,NEW_ESG_DATA,0,0.0,50.0,24.072477258700413,50.0,11.051612909038212
784,THE MOSAIC COMPANY,Basic Materials,20.21,Low Risk,33.5,2.0,SP500,0,0.0,50.0,23.783075506368135,50.0,10.948483395291252
785,INTERCONTINENTAL EXCHANGE INC.,Financial Services,20.14,Low Risk,19.8,1.0,SP500,0,0.0,48.863831978116316,27.608927172499413,50.0,7.771260997519622
786,CONOCOPHILLIPS,Energy,20.07,Low Risk,33.9,2.0,SP500,0,0.0,50.0,23.088511300770673,50.0,10.705109911521383
787,LAMB WESTON HOLDINGS INC,Unknown,20.06,Low Risk,33.92094017094017,2.0,NEW_ESG_DATA,0,0.0,50.0,23.05215056778533,50.0,10.69252731077777
788,ADAGENE INC,Healthcare,20.06,Low Risk,33.92094017094017,2.0,NEW_ESG_DATA,0,0.0,50.0,23.05215056778533,50.0,10.69252731077777
789,LARSEN & TOUBRO LTD.,Industrials,20.0,Very Low Risk,34.1,2.0,NIFTY50,0,0.0,50.0,22.74122919797193,50.0,10.585564285328811
790,"PRUDENTIAL FINANCIAL, INC.",Financial Services,19.97,Very Low Risk,19.9,1.0,SP500,0,0.0,48.016913831157694,27.43528612110005,50.0,7.683579186720426
791,HDFC LIFE INSURANCE COMPANY LTD.,Financial Services,19.92,Very Low Risk,20.8,1.0,NIFTY50,0,0.0,50.0,25.872516658505738,50.0,6.932382134566726
792,"GLOBAL PAYMENTS, INC.",Industrials,19.88,Very Low Risk,20.9,1.0,SP500,0,0.0,50.0,25.698875607106373,50.0,6.852909400179605
793,"CBOE GLOBAL MARKETS, INC.",Financial Services,19.84,Very Low Risk,21.0,1.0,SP500,0,0.0,50.0,25.525234555707005,50.0,6.774193548976761
794,INTUITIVE SURGICAL INC.,Healthcare,19.81,Very Low Risk,21.1,1.0,SP500,0,0.0,50.0,25.351593504307637,50.0,6.69622381958591
795,"GARTNER, INC.",Technology,19.77,Very Low Risk,18.9,1.0,SP500,0,0.0,44.028635073280704,29.171696635093724,50.0,8.60215053792805
796,"THE TRAVELERS COMPANIES, INC.",Financial Services,19.76,Very Low Risk,20.3,1.0,SP500,0,0.0,47.632104356106204,26.740721915502576,50.0,7.341490545568551
797,VERISIGN INC,Technology,19.73,Very Low Risk,21.3,1.0,SP500,0,0.0,50.0,25.004311401508904,50.0,6.54248069120856
798,KEYCORP,Financial Services,19.69,Very Low Risk,21.4,1.0,SP500,0,0.0,50.0,24.83067035010954,50.0,6.466686765769687
799,"BROWN & BROWN, INC.",Financial Services,19.67,Very Low Risk,20.5,1.0,SP500,0,0.0,47.56290835227087,26.39343981270384,50.0,7.17545240022654
800,W.R. BERKLEY CORPORATION,Financial Services,19.55,Very Low Risk,21.8,1.0,SP500,0,0.0,50.0,24.136106144512066,50.0,6.1704646351521895
801,COSTAR GROUP INC,Real Estate,19.51,Very Low Risk,21.9,1.0,SP500,0,0.0,50.0,23.9624650931127,50.0,6.098099868082761
802,MASCO CORPORATION,Industrials,19.4,Very Low Risk,22.2,1.0,SP500,0,0.0,50.0,23.441541938914597,50.0,5.884917175903491
803,ON SEMICONDUCTOR CORP,Technology,19.33,Very Low Risk,22.4,1.0,SP500,0,0.0,50.0,23.094259836115867,50.0,5.7459677426066555
804,"QUANTA SERVICES, INC.",Industrials,18.89,Very Low Risk,36.9,2.0,SP500,0,0.0,49.03858005377754,17.87927975878965,50.0,9.047993711010243
805,PENTAIR PLC,Industrials,18.86,Very Low Risk,22.1,1.0,SP500,0,0.0,46.14665219035727,23.61518299031396,50.0,5.955334988252588
806,"ANALOG DEVICES, INC.",Technology,18.79,Very Low Risk,22.9,1.0,SP500,0,0.0,47.620845649861884,22.22605457911903,50.0,5.409212565834585
807,"AMETEK, INC.",Industrials,18.79,Very Low Risk,23.9,1.0,SP500,0,0.0,50.0,20.489644065125354,50.0,4.777972736553767
808,MARATHON OIL CORPORATION,Energy,18.77,Very Low Risk,37.7,2.0,SP500,0,0.0,50.0,16.490151347594704,50.0,8.65063746557082
809,BHARAT PETROLEUM CORPORATION LTD.,Energy,18.74,Very Low Risk,37.8,2.0,NIFTY50,0,0.0,50.0,16.316510296195347,50.0,8.602150542763912
810,HOLOGIC INC,Healthcare,18.41,Very Low Risk,25.0,1.0,SP500,0,0.0,50.0,18.57959249973231,50.0,4.141935484547082
811,APA CORPORATION,Energy,18.41,Very Low Risk,38.8,2.0,SP500,0,0.0,50.0,14.580099782201675,50.0,8.131027607239634
812,"ONEOK, INC.",Energy,18.37,Very Low Risk,25.1,1.0,SP500,0,0.0,50.0,18.405951448332942,50.0,4.086878293952136
813,"DEXCOM, INC.",Healthcare,18.3,Very Low Risk,24.0,1.0,SP500,0,0.0,46.991590073968304,20.316003013725986,50.0,4.717741936175347
