model,accuracy,precision,recall,f1_score,roc_auc,best_cv_score,training_time_sec
Gradient Boosting,0.9880239520958084,0.9882155688622754,0.9880239520958084,0.9879329862405721,0.999260901699926,0.9803815520770142,10.560431480407715
XGBoost,0.9820359281437125,0.9824636441402907,0.9820359281437125,0.9818271324112936,0.9990761271249076,0.9878500510079458,3.3486552238464355
Random Forest,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9974131559497413,0.9894976293081871,2.4746806621551514
Logistic Regression,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9933481152993349,0.9703654153975368,0.0849156379699707
SVM,0.9580838323353293,0.9578592252853632,0.9580838323353293,0.9579277853618464,0.9826311899482632,0.9540144095719335,0.08611106872558594
